approach,share_reviewed,accounts_reviewed,precision,recall
ML1 Logistic regression (unconstrained),0.09000000000000001,835,0.651497005988024,0.6377491207502931
ML1 Logistic regression (unconstrained),0.095,881,0.623155505107832,0.6436107854630715
ML1 Logistic regression (unconstrained),0.1,928,0.5959051724137931,0.6483001172332943
ML1 Logistic regression (unconstrained),0.10500000000000001,974,0.5708418891170431,0.6518171160609613
ML1 Logistic regression (unconstrained),0.11,1020,0.5470588235294118,0.6541617819460727
ML1 Logistic regression (unconstrained),0.115,1067,0.5257731958762887,0.6576787807737398
ML1 Logistic regression (unconstrained),0.12000000000000001,1113,0.504941599281222,0.6588511137162955
ML1 Logistic regression (unconstrained),0.125,1160,0.48879310344827587,0.6647127784290738
ML1 Logistic regression (unconstrained),0.13,1206,0.472636815920398,0.6682297772567409
ML1 Logistic regression (unconstrained),0.135,1252,0.4584664536741214,0.6729191090269636
ML1 Logistic regression (unconstrained),0.14,1299,0.44341801385681295,0.675263774912075
ML1 Logistic regression (unconstrained),0.14500000000000002,1345,0.43048327137546466,0.6787807737397421
ML1 Logistic regression (unconstrained),0.15,1392,0.41810344827586204,0.6822977725674091
ML1 Logistic regression (unconstrained),0.155,1438,0.40611961057023643,0.6846424384525205
ML1 Logistic regression (unconstrained),0.16,1484,0.3948787061994609,0.6869871043376319
ML1 Logistic regression (unconstrained),0.165,1531,0.38275636838667537,0.6869871043376319
ML1 Logistic regression (unconstrained),0.17,1577,0.3722257450856056,0.6881594372801876
ML1 Logistic regression (unconstrained),0.17500000000000002,1623,0.36229205175600737,0.6893317702227433
ML1 Logistic regression (unconstrained),0.18000000000000002,1670,0.3532934131736527,0.6916764361078547
ML1 Logistic regression (unconstrained),0.185,1716,0.34440559440559443,0.6928487690504103
ML1 Logistic regression (unconstrained),0.19,1763,0.3363584798638684,0.6951934349355217
ML1 Logistic regression (unconstrained),0.195,1809,0.3294637921503593,0.6987104337631888
ML1 Logistic regression (unconstrained),0.2,1855,0.32452830188679244,0.7057444314185228
ML2 Gradient boosting,0.005,46,1.0,0.053927315357561546
ML2 Gradient boosting,0.01,93,1.0,0.10902696365767878
ML2 Gradient boosting,0.015,139,1.0,0.16295427901524032
ML2 Gradient boosting,0.02,186,1.0,0.21805392731535755
ML2 Gradient boosting,0.025,232,1.0,0.2719812426729191
ML2 Gradient boosting,0.030000000000000002,278,1.0,0.32590855803048063
ML2 Gradient boosting,0.034999999999999996,325,0.9815384615384616,0.37397420867526376
ML2 Gradient boosting,0.04,371,0.9433962264150944,0.41031652989449
ML2 Gradient boosting,0.045,417,0.8776978417266187,0.42907385697538103
ML2 Gradient boosting,0.049999999999999996,464,0.8362068965517241,0.4548651817116061
ML2 Gradient boosting,0.05,464,0.8362068965517241,0.4548651817116061
ML2 Gradient boosting,0.055,510,0.7725490196078432,0.4618991793669402
ML2 Gradient boosting,0.06,557,0.725314183123878,0.47362250879249707
ML2 Gradient boosting,0.065,603,0.6915422885572139,0.488862837045721
ML2 Gradient boosting,0.07,649,0.6563944530046225,0.49941383352872215
ML2 Gradient boosting,0.07500000000000001,696,0.6221264367816092,0.5076201641266119
