variant,pr_auc,roc_auc,precision_top5pct
random_045,0.4558546889391848,0.7534002386972298,0.6616379310344828
random_046,0.4574563739478069,0.7534814419583861,0.6875
random_047,0.45651351804835005,0.7532690053205879,0.6853448275862069
random_048,0.45403611457701243,0.7535190167321859,0.6918103448275862
random_049,0.4574342920003928,0.753586372993368,0.6875
random_050,0.4579201057645893,0.7535741264004258,0.6918103448275862
random_051,0.45475559721580155,0.7534101194710807,0.6918103448275862
random_052,0.457795813458247,0.7535464324004769,0.6918103448275862
random_053,0.4588058105120316,0.7538212849125314,0.6896551724137931
random_054,0.4562821382640425,0.7532893931145201,0.6702586206896551
random_055,0.4561948769748842,0.7532860531346269,0.6831896551724138
random_056,0.45504108437056356,0.7533656559887509,0.6918103448275862
random_057,0.45476337667165423,0.7534964022849915,0.6918103448275862
random_058,0.4557384376758519,0.7533456856923055,0.6875
random_059,0.45827982702057424,0.7536813536715843,0.6788793103448276
random_060,0.45889127211887976,0.7539342179826743,0.6831896551724138
random_061,0.4564549865316163,0.7533859741997687,0.6918103448275862
random_062,0.45427443108871296,0.7534815811242149,0.6918103448275862
random_063,0.45594806095566975,0.7532596812100525,0.6831896551724138
random_064,0.4582128925079515,0.7536067607873,0.6831896551724138
random_065,0.4564307447049267,0.7532164006372681,0.6810344827586207
random_066,0.4546686907352634,0.7529502459895191,0.6616379310344828
random_067,0.458081241807865,0.753581363023528,0.6896551724137931
random_068,0.4578456513447672,0.7537318012845562,0.6918103448275862
random_069,0.45677789023228216,0.7534302985162695,0.6896551724137931
random_070,0.4535785772209897,0.7536833019931887,0.6918103448275862
random_071,0.45947207848072597,0.7540561968316951,0.6875
random_072,0.4533511323398603,0.752776358286323,0.6616379310344828
random_073,0.45766856105942677,0.7534865215111406,0.6918103448275862
random_074,0.4554066965872382,0.7533993341193419,0.6918103448275862
random_075,0.4585484493547266,0.7538464739275603,0.6918103448275862
random_076,0.45563068431109865,0.753309572159709,0.6853448275862069
random_077,0.4581509122696598,0.7536993756464253,0.6896551724137931
random_078,0.45620244525916165,0.7533997516168286,0.6896551724137931
random_079,0.45790715333500503,0.7535457365713325,0.6875
random_080,0.4566861959964858,0.7534254277122585,0.6918103448275862
